Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Brewery,Brewery Latitude,Brewery Longitude,Brewery Category
Belmont,39.7334606,-84.1408753,Brewtensils,39.72921927386832,-84.14179748606989,Brewery
Belmont,39.7334606,-84.1408753,CnC Brewery,39.71915935659728,-84.13419073047407,Brewery
Belmont,39.7334606,-84.1408753,O'Smitty's Brewery,39.7245506810479,-84.1573977470398,Brewery
Burkhardt,39.7596715,-84.15142800000001,Fifth Street Brewpub,39.758634,-84.171974,Brewery
Carillon,39.7417955,-84.2004739,Carillon Brewing Co.,39.728801401415105,-84.198198736269,Brewery
College Hill,39.7833378,-84.239734,Ransom Note Brewing Co - Dayton View,39.778256,-84.224521,Brewery
Cornell Heights,39.773070399999995,-84.239734,Ransom Note Brewing Co - Dayton View,39.778256,-84.224521,Brewery
Dayton View Triangle,39.780248,-84.2291968,Ransom Note Brewing Co - Dayton View,39.778256,-84.224521,Brewery
Downtown,39.7605709,-84.19493829999999,Warped Wing Brewing Co.,39.75964418140681,-84.18599181467069,Brewery
Downtown,39.7605709,-84.19493829999999,Dayton Beer Company,39.76172358113571,-84.18529826978704,Brewery
Downtown,39.7605709,-84.19493829999999,Toxic Brew Company,39.757367,-84.183959,Brewery
Downtown,39.7605709,-84.19493829999999,Lock 27 Brewing Company - Dayton Brewpub,39.764055645050746,-84.18631768650914,Brewery
Downtown,39.7605709,-84.19493829999999,Branch & Bone Artisan Ales,39.75219863678619,-84.17722987968679,Brewery
Eastmont,39.733611100000005,-84.1184446,Plainfield Brewery,39.7305,-84.11055,Brewery
Fairborn,39.8208925,-84.0193789,Amber Prince Brewing,39.825157,-84.01396,Brewery
Fairview,39.787947700000004,-84.2291968,Ransom Note Brewing Co - Dayton View,39.778256,-84.224521,Brewery
Five Oaks,39.7728471,-84.2094347,Ransom Note Brewing Co - Dayton View,39.778256,-84.224521,Brewery
Five Points,39.7529495,-84.205366,Crafted Pints Pilot Brewery,39.75895,-84.19161,Brewery
Grafton Hill,39.766232099999996,-84.20548149999999,Dayton Beer Company,39.76172358113571,-84.18529826978704,Brewery
Grafton Hill,39.766232099999996,-84.20548149999999,Lock 27 Brewing Company - Dayton Brewpub,39.764055645050746,-84.18631768650914,Brewery
Grafton Hill,39.766232099999996,-84.20548149999999,Crafted Pints Pilot Brewery,39.75895,-84.19161,Brewery
Hearthstone,39.743467200000005,-84.1355982,Brewtensils,39.72921927386832,-84.14179748606989,Brewery
Hillcrest,39.788772200000004,-84.2199753,Ransom Note Brewing Co - Dayton View,39.778256,-84.224521,Brewery
Historic Inner East,39.7591175,-84.16593490000001,Fifth Street Brewpub,39.758634,-84.171974,Brewery
Historic Inner East,39.7591175,-84.16593490000001,Branch & Bone Artisan Ales,39.75219863678619,-84.17722987968679,Brewery
Historic Inner East,39.7591175,-84.16593490000001,Warped Wing Brewing Co.,39.75964418140681,-84.18599181467069,Brewery
Historic Inner East,39.7591175,-84.16593490000001,Dayton Beer Company,39.76172358113571,-84.18529826978704,Brewery
Historic Inner East,39.7591175,-84.16593490000001,Toxic Brew Company,39.757367,-84.183959,Brewery
McPherson Town Historic District,39.7677552,-84.195904,Warped Wing Brewing Co.,39.75964418140681,-84.18599181467069,Brewery
McPherson Town Historic District,39.7677552,-84.195904,Dayton Beer Company,39.76172358113571,-84.18529826978704,Brewery
McPherson Town Historic District,39.7677552,-84.195904,Lock 27 Brewing Company - Dayton Brewpub,39.764055645050746,-84.18631768650914,Brewery
McPherson Town Historic District,39.7677552,-84.195904,Toxic Brew Company,39.757367,-84.183959,Brewery
Mount Vernon,39.77972379999999,-84.2186578,Ransom Note Brewing Co - Dayton View,39.778256,-84.224521,Brewery
Oakwood,39.7253369,-84.1741059,P3's Public House,39.7327995300293,-84.17597961425781,Brewery
Oakwood,39.7253369,-84.1741059,O'Smitty's Brewery,39.7245506810479,-84.1573977470398,Brewery
Patterson Park,39.720196200000004,-84.1580225,O'Smitty's Brewery,39.7245506810479,-84.1573977470398,Brewery
Patterson Park,39.720196200000004,-84.1580225,Ennekings Basement Brews,39.711456,-84.14546700000001,Brewery
Patterson Park,39.720196200000004,-84.1580225,The Garrison Brewpub,39.707842,-84.165467,Brewery
Patterson Park,39.720196200000004,-84.1580225,Brewtensils,39.72921927386832,-84.14179748606989,Brewery
Princeton Heights,39.7725473,-84.2291968,Ransom Note Brewing Co - Dayton View,39.778256,-84.224521,Brewery
Riverdale,39.773670200000005,-84.20021009999999,Lock 27 Brewing Company - Dayton Brewpub,39.764055645050746,-84.18631768650914,Brewery
Riverdale,39.773670200000005,-84.20021009999999,Crafted Pints Pilot Brewery,39.75895,-84.19161,Brewery
Santa Clara,39.7818966,-84.2107524,Ransom Note Brewing Co - Dayton View,39.778256,-84.224521,Brewery
Shroyer Park,39.7280355,-84.16066009999999,O'Smitty's Brewery,39.7245506810479,-84.1573977470398,Brewery
Shroyer Park,39.7280355,-84.16066009999999,P3's Public House,39.7327995300293,-84.17597961425781,Brewery
Shroyer Park,39.7280355,-84.16066009999999,Brewtensils,39.72921927386832,-84.14179748606989,Brewery
South Park,39.7496406,-84.18175670000001,Branch & Bone Artisan Ales,39.75219863678619,-84.17722987968679,Brewery
South Park,39.7496406,-84.18175670000001,Warped Wing Brewing Co.,39.75964418140681,-84.18599181467069,Brewery
South Park,39.7496406,-84.18175670000001,Fifth Street Brewpub,39.758634,-84.171974,Brewery
South Park,39.7496406,-84.18175670000001,Toxic Brew Company,39.757367,-84.183959,Brewery
South Park,39.7496406,-84.18175670000001,Dayton Beer Company,39.76172358113571,-84.18529826978704,Brewery
South Park,39.7496406,-84.18175670000001,Lock 27 Brewing Company - Dayton Brewpub,39.764055645050746,-84.18631768650914,Brewery
Southern Dayton View,39.763365500000006,-84.2252449,Ransom Note Brewing Co - Dayton View,39.778256,-84.224521,Brewery
Twin Towers,39.7487029,-84.166801,Fifth Street Brewpub,39.758634,-84.171974,Brewery
Twin Towers,39.7487029,-84.166801,Branch & Bone Artisan Ales,39.75219863678619,-84.17722987968679,Brewery
Twin Towers,39.7487029,-84.166801,Toxic Brew Company,39.757367,-84.183959,Brewery
University Park,39.7358456,-84.1883478,Carillon Brewing Co.,39.728801401415105,-84.198198736269,Brewery
University Park,39.7358456,-84.1883478,P3's Public House,39.7327995300293,-84.17597961425781,Brewery
University Park,39.7358456,-84.1883478,Ingram Street Brew Works,39.748006626682425,-84.17867302894592,Brewery
University Row,39.7721543,-84.2212928,Ransom Note Brewing Co - Dayton View,39.778256,-84.224521,Brewery
Walnut Hills,39.7434459,-84.16066009999999,Branch & Bone Artisan Ales,39.75219863678619,-84.17722987968679,Brewery
Walnut Hills,39.7434459,-84.16066009999999,Ingram Street Brew Works,39.748006626682425,-84.17867302894592,Brewery
Walnut Hills,39.7434459,-84.16066009999999,P3's Public House,39.7327995300293,-84.17597961425781,Brewery
Oregon,39.757308,-84.1824895,Warped Wing Brewing Co.,39.75964418140681,-84.18599181467069,Brewery
Oregon,39.757308,-84.1824895,Toxic Brew Company,39.757367,-84.183959,Brewery
Oregon,39.757308,-84.1824895,Dayton Beer Company,39.76172358113571,-84.18529826978704,Brewery
Oregon,39.757308,-84.1824895,Fifth Street Brewpub,39.758634,-84.171974,Brewery
Oregon,39.757308,-84.1824895,Branch & Bone Artisan Ales,39.75219863678619,-84.17722987968679,Brewery
Oregon,39.757308,-84.1824895,Lock 27 Brewing Company - Dayton Brewpub,39.764055645050746,-84.18631768650914,Brewery
