Latitude,Longitude,Neighborhood,City,State,County,Home Value
39.7476555,-84.2450019,Arlington Heights,Dayton,OH,Montgomery,30823
39.7092262,-84.0632685,Beavercreek,Dayton,OH,Greene,217489
39.7334606,-84.1408753,Belmont,Dayton,OH,Montgomery,87032
39.7596715,-84.151428,Burkhardt,Dayton,OH,Montgomery,61238
39.7417955,-84.2004739,Carillon,Dayton,OH,Montgomery,31161
39.7833378,-84.239734,College Hill,Dayton,OH,Montgomery,49168
39.7730704,-84.239734,Cornell Heights,Dayton,OH,Montgomery,34983
39.780248,-84.2291968,Dayton View Triangle,Dayton,OH,Montgomery,69062
39.7979853,-84.1988922,DeWeese,Dayton,OH,Montgomery,85244
39.7605709,-84.1949383,Downtown,Dayton,OH,Montgomery,169512
39.7534717,-84.1303207,Eastern Hills,Dayton,OH,Montgomery,66966
39.7336111,-84.1184446,Eastmont,Dayton,OH,Montgomery,91068
39.7417347,-84.2156583,Edgemont,Dayton,OH,Montgomery,61238
39.8208925,-84.0193789,Fairborn,Dayton,OH,Greene,120170
39.7395132,-84.2621192,Fairlane,Dayton,OH,Montgomery,102091
39.7879477,-84.2291968,Fairview,Dayton,OH,Montgomery,43714
39.7728471,-84.2094347,Five Oaks,Dayton,OH,Montgomery,61238
39.7529495,-84.205366,Five Points,Dayton,OH,Montgomery,61238
39.8034639,-84.1039262,Gateway,Dayton,OH,Montgomery,180992
39.7662321,-84.2054815,Grafton Hill,Dayton,OH,Montgomery,83489
39.7857294,-84.2621192,Greenwich Village,Dayton,OH,Montgomery,61238
39.7434672,-84.1355982,Hearthstone,Dayton,OH,Montgomery,81324
39.7284566,-84.2463188,Highview Hills,Dayton,OH,Montgomery,32308
39.7887722,-84.2199753,Hillcrest,Dayton,OH,Montgomery,61238
39.7591175,-84.1659349,Historic Inner East,Dayton,OH,Montgomery,49473
39.6895036,-84.1688274,Kettering,Dayton,OH,Montgomery,153008
39.7422579,-84.239734,Lakeview,Dayton,OH,Montgomery,28596
39.7491354,-84.1461519,Linden Heights,Dayton,OH,Montgomery,78768
39.7716254,-84.288444,Little Richmond,Dayton,OH,Montgomery,37696
39.7514833,-84.2186578,MacFarlane,Dayton,OH,Montgomery,30235
39.7830977,-84.1889535,McCook Field,Dayton,OH,Montgomery,61238
39.7677552,-84.195904,McPherson Town Historic District,Dayton,OH,Montgomery,112402
39.7428226,-84.2252449,Miami Chapel,Dayton,OH,Montgomery,61238
39.7797238,-84.2186578,Mount Vernon,Dayton,OH,Montgomery,80498
39.7933795,-84.2094347,North Riverdale,Dayton,OH,Montgomery,40449
39.7959949,-84.2621192,Northern Hills,Dayton,OH,Montgomery,66750
39.8241652,-84.2094347,Northridge Estates,Dayton,OH,Montgomery,119014
39.7253369,-84.1741059,Oakwood,Dayton,OH,Montgomery,289025
39.7888346,-84.1698908,Old North Dayton,Dayton,OH,Montgomery,40527
39.7201962,-84.1580225,Patterson Park,Dayton,OH,Montgomery,147465
39.798605,-84.2370999,Philadelphia Woods,Dayton,OH,Montgomery,86342
39.7376429,-84.2502693,Pineview,Dayton,OH,Montgomery,40375
39.7725473,-84.2291968,Princeton Heights,Dayton,OH,Montgomery,61393
39.7549224,-84.2621192,Residence Park,Dayton,OH,Montgomery,28228
39.7736702,-84.2002101,Riverdale,Dayton,OH,Montgomery,31871
39.779781,-84.1241047,Riverside,Dayton,OH,Montgomery,94837
39.7545753,-84.2291968,Roosevelt,Dayton,OH,Montgomery,61238
39.7818966,-84.2107524,Santa Clara,Dayton,OH,Montgomery,36879
39.7280355,-84.1606601,Shroyer Park,Dayton,OH,Montgomery,119828
39.7496406,-84.1817567,South Park,Dayton,OH,Montgomery,100316
39.7633655,-84.2252449,Southern Dayton View,Dayton,OH,Montgomery,24487
39.7699401,-84.151428,Springfield,Dayton,OH,Montgomery,24525
39.7103409,-84.2436849,Stoney Ridge,Dayton,OH,Montgomery,110993
39.7487029,-84.166801,Twin Towers,Dayton,OH,Montgomery,28626
39.7358456,-84.1883478,University Park,Dayton,OH,Montgomery,112173
39.7721543,-84.2212928,University Row,Dayton,OH,Montgomery,66472
39.7434459,-84.1606601,Walnut Hills,Dayton,OH,Montgomery,72252
39.7849476,-84.2463188,Wesleyan Hill,Dayton,OH,Montgomery,61238
39.7617134,-84.2436849,Westwood,Dayton,OH,Montgomery,61238
39.7566189,-84.2186578,Wolf Creek,Dayton,OH,Montgomery,44064
39.7694082,-84.1408753,Wright View,Dayton,OH,Montgomery,60048
39.757308,-84.1824895,Oregon,Dayton,OH,Montgomery,201340